id,title,level,raw_community,relationship_ids,text_unit_ids
2,Community 2,0,2,"['81869985b45a4fefbbbb23ea118a3de4' '42b8584c5a874eb08fbd61f0c18f3ca0'
 '824d93d9840a4b7c8b1f31bc6816b497' 'f209a808f1f04a5699601e672f4abd06'
 'ccb335166f6c4564ac1c61549d8ded50' 'cbe1a41a82aa4f268e8264568b25938f'
 '99761e9b89cc4060be3ed6b34532e7ff' '400d10f2ee1d49be9a66efa34dada0e6'
 'b7fdfffc38b94bf7872eabe9b022c8fd' '6242e0c237a348908d0256ea790a0211'
 '7cc9f26737e1442595e53253e98015ef' '1868fec1493643208dbdcad7bc97dfa0'
 'f1f6f6435a444e388d67e16e847afca6' '0af2ca1c090843ea92679fd14c1fbc9a'
 '1b06d3e53ffd4771952fbef04d1e666c' 'b8e966b34cba4b11b9995106767212ba'
 '6bfc2395b4f54a528a1ebac94a43acb8' 'bada987ea7da4c939393ee1c3d08ccd4']","['78694c2f02a78b42f413d98bcc76e527'
 '13c46de65b7e974b827b668b96bc054b,211397562072e865dcde9c2fafb534b5,78694c2f02a78b42f413d98bcc76e527,c972662ec0a96c9ac366df01191fcba3,f34047ed9be957245be11e9ab8df28bb'
 '2045a423d7ec0e6b18300c4009b51f97,41d33265517367967d10564cbf8fe7d4,be42eeb163c37d00a0bbd2b8a838a5f8,f34047ed9be957245be11e9ab8df28bb'
 '41d33265517367967d10564cbf8fe7d4,6eb3be753407be6c0ad1ad35ae45ff75,be42eeb163c37d00a0bbd2b8a838a5f8'
 '3d208a63fc0c49a5232b248900979fe4,832e56ae03c59859d3810a92e480461b,86d586719b44ba38350349cdcb1c9cb0'
 '3d208a63fc0c49a5232b248900979fe4,6eb3be753407be6c0ad1ad35ae45ff75,832e56ae03c59859d3810a92e480461b'
 '211397562072e865dcde9c2fafb534b5' 'c972662ec0a96c9ac366df01191fcba3'
 '86d586719b44ba38350349cdcb1c9cb0' '832e56ae03c59859d3810a92e480461b'
 '2a3102391bafcd28c7dd42549ccf48cf,3d208a63fc0c49a5232b248900979fe4,832e56ae03c59859d3810a92e480461b'
 '3d208a63fc0c49a5232b248900979fe4' '13c46de65b7e974b827b668b96bc054b'
 '6eb3be753407be6c0ad1ad35ae45ff75']"
10,Community 10,0,10,"['63fba9a7c47a4f14ac0bee6bc90d0fea' '6bfc2395b4f54a528a1ebac94a43acb8'
 '1cce5cebf437428eb1a60dffbdfa603f' 'dc94039d6643460ca3c66150b9087129'
 'f197d75f159943f8a3ff441199790bc7' '4d8890c699684c9381105b03b0b41b03'
 'b1658adfa43847eabad1437db235e858' 'a1773cac7d4c4939aec965660e5015fe'
 '6a054cb59fb44cf494b93988b5f88833' 'e7b103a52e384e3e8bf14105223e7e82'
 '3f1042452c254cecaf7189e89162adc8' 'fd31d549420744d1bd1a6b1112a9a6ba'
 'f7ab348030714072a277682b51f7c588' 'd1fd271d16c348019c2fcced762b35a2'
 'ffa128c9c0c84d39bad1bba8cfa4adc5' 'bf91f36307cb43e1ab1e967cb3ba8274'
 '5bfefaa0fce04002851733337bed714c' 'b5fed5609f154df58c6a9f74e55fc0ba'
 '66e098dc431146e19fc4bc2ea37efbd9' '2dc7f6b230db452190a09643ca3d5ec0'
 'c20ecfc93b3a4875ade5c92cfe4b94a1' 'e785c52881704d95bf4ec03d2720f8ae'
 '654689c65613476b9905d7afb3809cd2' '83cd5df42643494396b00d6cb6376def']","['06339417dd129043f8102316e372f97b,2045a423d7ec0e6b18300c4009b51f97,2701318aa6b7a9afac87cdf7f06be4fa,2cec5dfa5a6f09a5b21afeb496e812b9,3367d1af79b215e1e3bbeda05ec12266,4889b8e64628e3aa5708b9fe22f95fc0,5724a82dd708aaee5d26b64b7d5b0b50,593106634c58b8567ffa3f161932bd0d,7abba7c2008a10626855aa8423929d38,9c0f0dd4c99b02f2563aa2d10aec7236,b7244c24ba845e9461cf4ba9cc098f77,d40fc73eef238010776ab42d53427a71,d58af2774383a48d5ddffee5074893a6,e17bf1f3eed3d870d76a36ec5d026cd3,f0efb36842d71c9764d28cf83102f4b5'
 '5ad45bd483d79609ef98d1ea70c8cd36'
 '5ad45bd483d79609ef98d1ea70c8cd36,7abba7c2008a10626855aa8423929d38'
 '06339417dd129043f8102316e372f97b,2701318aa6b7a9afac87cdf7f06be4fa'
 '3367d1af79b215e1e3bbeda05ec12266,7b35c76e997c4827b6c4f2abae08331e,e17bf1f3eed3d870d76a36ec5d026cd3,e807738758c408be3e8864db88caff39'
 '3367d1af79b215e1e3bbeda05ec12266,e17bf1f3eed3d870d76a36ec5d026cd3'
 '7abba7c2008a10626855aa8423929d38'
 '4630228042c15512e1ed883eb515a81c,4889b8e64628e3aa5708b9fe22f95fc0'
 'd40fc73eef238010776ab42d53427a71' '2701318aa6b7a9afac87cdf7f06be4fa'
 'e17bf1f3eed3d870d76a36ec5d026cd3' 'b7244c24ba845e9461cf4ba9cc098f77'
 '593106634c58b8567ffa3f161932bd0d' '4889b8e64628e3aa5708b9fe22f95fc0'
 '4630228042c15512e1ed883eb515a81c']"
1,Community 1,0,1,"['ff5466607e5d4453b1d833629292f664' '71f95003936e46a98d90757ffd845d40'
 'bada987ea7da4c939393ee1c3d08ccd4' 'd0a274e7934d446fb91847bb53a961a6'
 '0a799eab61bc4e6b884db6689f9c2c4a' '8c34cd494a63438dac219c1dc0f73100'
 'c6f428af0c5e4f629902fd5455bf19ac' '7deb75816e4f473480e0c79ae99b5bf4'
 '7f85b181f1184f77aeb3ea2155cf4027' '63fba9a7c47a4f14ac0bee6bc90d0fea'
 'fdcb1673254842f1935f53d0c38c467e']","['0974e3980ac7fd39ff8d5b5b4ec931be,0f9a5da33adb698ee3345a722dd6dbd4,2dce2f2cbf044821729ff6883c3351ab,9c0f0dd4c99b02f2563aa2d10aec7236,be42eeb163c37d00a0bbd2b8a838a5f8,c06fc6dd3a2a71fb3c9ffae93ae426f6'
 '9790ebc82f7160ddd73beb7d7f7fbe30,c06fc6dd3a2a71fb3c9ffae93ae426f6'
 'c06fc6dd3a2a71fb3c9ffae93ae426f6' '9790ebc82f7160ddd73beb7d7f7fbe30'
 '2dce2f2cbf044821729ff6883c3351ab'
 'be42eeb163c37d00a0bbd2b8a838a5f8,f34047ed9be957245be11e9ab8df28bb'
 '0f9a5da33adb698ee3345a722dd6dbd4' '0974e3980ac7fd39ff8d5b5b4ec931be']"
0,Community 0,0,0,"['058f66cc356b43cc9433bd3c8d57fa46' 'ff74091eaba246698fcae59c21eec828'
 'f6cbbf1b8f4b48a28a16e4dd8976b9bb' '757ca40654d5476aa949a26b733be8d4'
 '539d55e7c42e44b59d98f59fae3e0ee1' '3785eeadea9042bfb2e50f16c0397a12'
 '48cd97f2297143e09d61ff2a8542c0c5' 'ff95eb0d5f7f49b782027d5c7ae3c3fe'
 '086da554db5b4ad5806aedeb0024197c' '216ee8a907a0466a88b27f8ada19ffa0'
 '6fefb317687d4ac98efe39a52f3e190f' '320d9d91238948a8be67972ccceab878'
 'bdcbcccadd474b3bbe9a8f56c811bab4' 'f127fc4d87f94794be89134406ba0694'
 'c27966a4e3be434686454204ac7b3ab4' 'dab39f92d0ed468c80699f28c05c45fa'
 '11e4325f59394ff1bc89892f79288702' '71743537a07c440ea1710a269da8b538'
 'eeecb159cc8a4c8989f8da0f3df09f2a' 'a87aa935dccf49cd98b40fb5afe7ad5c']","['105b57c88dc624c85578b6500db3200e,106e9295bcfedcccf6687dc20ed91e0c,17dff7d79189b2b01e7c3aa61ba924d9,264f25220ba4af0a533536c5f131719d,28607f3235a38d9f1e6ce31678cbec08,4102370503cd9bf6c2f6d53fc36975c2,55946cdb9635ae3014dc49b213ebd624,5b2875e1c818a3da9b0b3be551d1b092,605fe89d0c31975979dfde8bc5177ac6,709a4bdcd3b3b2d8e694f76f116741bb,78f9c43b344baaa4cf7b5923d2a89fcb,8f85b6a89a7635df0651bc4afa8bea30,acaf15728080d84305015a26ec9ce5a7,bb863e7d23568e97bb4f20c0f09d87f2,bc5e7d72174f350a33dcf12faefa7aa6,c60c40f586dba63ab8a5d1f8ab3a11d4,d5559092bd99fd1f3869f1524b901358,dee02c29ee12ac56a5d7bfe57c8d5abc,df57c066c0f5bdf4c4b3d066b3a92cf4,fa10d28ca3b57c6b180e20d88954027a,ffecca81d2d2f0fb0b1752286ad2c891'
 '0aa243942da652d5a1747247f52dea02,106e9295bcfedcccf6687dc20ed91e0c,264f25220ba4af0a533536c5f131719d,28607f3235a38d9f1e6ce31678cbec08,3389efd680d43d6b195bdec5625f5852,51902b4fc9b9c277ce9e76d7bb490488,8f85b6a89a7635df0651bc4afa8bea30,bb863e7d23568e97bb4f20c0f09d87f2,c188e627b8cf464e99a147969b436b77,c60c40f586dba63ab8a5d1f8ab3a11d4,fce2cc9025ae0fb6f2180ece37d3ab9a,ffecca81d2d2f0fb0b1752286ad2c891'
 '03a78e6d89d1dfd1f291689da2203e0d,2a3102391bafcd28c7dd42549ccf48cf,55946cdb9635ae3014dc49b213ebd624,e5d2a321469250dee3b1b85e9b569a2b'
 '03a78e6d89d1dfd1f291689da2203e0d' '3389efd680d43d6b195bdec5625f5852'
 '5b2875e1c818a3da9b0b3be551d1b092'
 '106e9295bcfedcccf6687dc20ed91e0c,264f25220ba4af0a533536c5f131719d,8f2942bb61954debf95523409380171b,bb863e7d23568e97bb4f20c0f09d87f2,ffecca81d2d2f0fb0b1752286ad2c891'
 '106e9295bcfedcccf6687dc20ed91e0c,264f25220ba4af0a533536c5f131719d,bb863e7d23568e97bb4f20c0f09d87f2,ffecca81d2d2f0fb0b1752286ad2c891'
 '0aa243942da652d5a1747247f52dea02'
 '2839fbc9d019e6693439329e5fdfb5a2,c51fbbba65ab5cfc2a7399114b4afc72,e5d2a321469250dee3b1b85e9b569a2b'
 '105b57c88dc624c85578b6500db3200e,605fe89d0c31975979dfde8bc5177ac6,acaf15728080d84305015a26ec9ce5a7'
 '709a4bdcd3b3b2d8e694f76f116741bb' '17dff7d79189b2b01e7c3aa61ba924d9']"
3,Community 3,0,3,"['3076f330d121489aa50964ce54a3b1ac' 'c8e5d3afdcb54c8589e280f0c4a87417'
 'f3d30627e19245649e497ab49bf0fa30' 'e3f1098c3d984bc7b5f30b9c0101f7a6'
 '24b4a5f4db67418cbfa08c5316f0ab51' 'e4b707e3e6964197855b82fc66ef59e7'
 '109b8be5a8ee4180a1465cd23f019d7b' '49f771e31a0c4b35bc39e389f3623509'
 'aa946d4379694a74ba0da37e69d2810a' '8130a1a82bde46048952cf147690e630'
 'd148b2b2033048618f1a090a492a40a5']","['13bd16bd84d1d944ba4eda1cd1f97d81,23688e9dc337373f3b1a22dde4d91f6c,340768e47ec52080f14b9a1b8d72c0ed,6ae37b9ba3a17fa65c721371ae3e5646,6bd2fe643bdcc6be72047366d70c9d36,98521d8af0974f7a7aa310e1144fd17c,f8ac24c10a7bc8dc5cc62f5cc543a497,fc18a717f9840b1f7cff7e8a3dacbc29'
 '23688e9dc337373f3b1a22dde4d91f6c,340768e47ec52080f14b9a1b8d72c0ed,6ae37b9ba3a17fa65c721371ae3e5646,6bd2fe643bdcc6be72047366d70c9d36,98521d8af0974f7a7aa310e1144fd17c,f8ac24c10a7bc8dc5cc62f5cc543a497,fc18a717f9840b1f7cff7e8a3dacbc29'
 '13bd16bd84d1d944ba4eda1cd1f97d81,98521d8af0974f7a7aa310e1144fd17c'
 '6bd2fe643bdcc6be72047366d70c9d36,98521d8af0974f7a7aa310e1144fd17c'
 '6ae37b9ba3a17fa65c721371ae3e5646' '13bd16bd84d1d944ba4eda1cd1f97d81'
 '6bd2fe643bdcc6be72047366d70c9d36' '23688e9dc337373f3b1a22dde4d91f6c'
 'f8ac24c10a7bc8dc5cc62f5cc543a497']"
6,Community 6,0,6,"['79c99026b7ef4946b9b8e0be841fd4c5' 'fdcb1673254842f1935f53d0c38c467e'
 'dcb3f4cc8abc46faabc193d9885e91d0' '3295be59128d451bb720c6688adc1e0b'
 'aca3eb8924ac494486fe0bfe892f7f2e' '66689accdd974295b7eb779e43578748'
 '6b49c78aa1524609ab7aa74aeaa3e01d' '7ff31ce54f424f0bbb297b0b3ba7c757'
 'bac51e00d486420c8e91e824d8e17411' '4adee3aad6524a4aa4c4711c1ee05e64'
 '33905debec1a45ecae1c65daac1d854c' 'bfbe904780fe47daad1a04126b12923c'
 '0614f00e932c4cd0b53928053811ebc1' '9ef487dd0b574b108c60a56d6a2f146c'
 '4067269e7f6943cdbc299ce02b7eadbd' '094a736ba43c4da48c556437f47f88d1'
 '8ea7cef407df48098046551e303e1c64' '186e60d2176547bf84e5bf87bd16bb40'
 '539d55e7c42e44b59d98f59fae3e0ee1' '24b4a5f4db67418cbfa08c5316f0ab51']","['23f381240de778e2bc3a13d23bca3565,56db6bd1fa62c6b555094fabb41e1914,6eaf196fc6a057eed197922d34d1c0a6,85d22b7ef37ae79ad6567046b8184a1c,9099f98cb6057a5bd9bfd18262448c29,bc5e7d72174f350a33dcf12faefa7aa6,c06fc6dd3a2a71fb3c9ffae93ae426f6,c1cba8ed0d193ad59458390a792657b0,d5559092bd99fd1f3869f1524b901358,de7b7ed1df2bd5a2072691c689d14583,dee02c29ee12ac56a5d7bfe57c8d5abc,efed2f5ad92d570897eac4d86d0b1a3e,f06a861562496748755a429bc4a6f926,f8ac24c10a7bc8dc5cc62f5cc543a497,fa10d28ca3b57c6b180e20d88954027a'
 '6e74dc5d592cc6479ac5f124d556a850,6eaf196fc6a057eed197922d34d1c0a6'
 '6963ec899be88537c2941c7683d0cfcb'
 '4747961b7d704e7afe64e6d22c7d010d,4cb16c8995629cafeed255165bc44360,6963ec899be88537c2941c7683d0cfcb,85d22b7ef37ae79ad6567046b8184a1c,9e33bda60d240a6b736314369d0ce78c,b1edebca8079ae04f91698fa6fa203cb,cc785dd030908551f67b83fc75dc56ca,ddc5db0d99054990fc7e3df37f711e27'
 '1dffee3b908bcf0751d4b6877aca42ea'
 '1dffee3b908bcf0751d4b6877aca42ea,c1cba8ed0d193ad59458390a792657b0'
 'f8ac24c10a7bc8dc5cc62f5cc543a497' '6e74dc5d592cc6479ac5f124d556a850'
 'f06a861562496748755a429bc4a6f926' '4cb16c8995629cafeed255165bc44360'
 '9099f98cb6057a5bd9bfd18262448c29' 'cc785dd030908551f67b83fc75dc56ca'
 'b1edebca8079ae04f91698fa6fa203cb' '56db6bd1fa62c6b555094fabb41e1914'
 '4747961b7d704e7afe64e6d22c7d010d']"
7,Community 7,0,7,"['09940fed9d154504948bba2df1789a50' '4d6608557eed49368a6d09c7c5c664c5'
 'eb7c93eeb9dc41aab57d29e97ebb4951' '3b6e2ac584b64847b53828c9d779fed3'
 'e9b68002e035447baae848208cea5503' 'fe18353546824ca98294ce4be7b96e02'
 'cd58a8740ba54d86a77db9bb9544ef0d' 'e96d3475d43b42a781b297ae7e650afe'
 'b4c7de7a824a4a71b9f52193d2f1a10d' '6a87f06ed55a46f29b24f77e548a3f1d'
 '216ee8a907a0466a88b27f8ada19ffa0' '30b7034c4468473f98ee18d00ee73b33'
 '48cd97f2297143e09d61ff2a8542c0c5']","['f12bd8809b9a4fbde18d50ae1f1388fb'
 '4b03f045ca7c1bdd67310c061680f0c5,709a4bdcd3b3b2d8e694f76f116741bb,b7e2aefb1da5117e881d6cd92f6deeb3,cf610e79c74e3f3602430ab31cee3f59,e82e0a356955e412d05d2f6e3f008e05,f12bd8809b9a4fbde18d50ae1f1388fb'
 '046b9075b99ef77e1f8fa7d1156334bc,4b03f045ca7c1bdd67310c061680f0c5'
 '605fe89d0c31975979dfde8bc5177ac6'
 '59a45bd10b760382a60e524b4ed8e99d,cf610e79c74e3f3602430ab31cee3f59'
 '046b9075b99ef77e1f8fa7d1156334bc'
 '4b03f045ca7c1bdd67310c061680f0c5,798857dabf3f6e02fd96d3754961b4f9'
 '605fe89d0c31975979dfde8bc5177ac6,cf610e79c74e3f3602430ab31cee3f59'
 'cf610e79c74e3f3602430ab31cee3f59' '59a45bd10b760382a60e524b4ed8e99d']"
5,Community 5,0,5,"['62c65bbae33c4ee9a21b61f6f454c4b4' '30b7034c4468473f98ee18d00ee73b33'
 '00f78b85e5b84999a810e311e540037b' '3e460d9f011d4b0b9ccaae7b6a5202de'
 '9d98dece22eb401aa1a5ce9c88c603f0' 'e65017091c8d4c7daa45b6c8414e0465'
 'a0f326b9597b49dda6563e9208316117' 'bff3db70f9af4f2c87a93df48ecbb6bc'
 '80e3ce3de41e4601823a333e22b7bb3f' '50eabc166e8944a49197e79c32f27597']","['2225399269f5b8d8b66b99cf4000276e,6d366f29543ceb4666afebe8b2a7fb2f,798857dabf3f6e02fd96d3754961b4f9'
 '2225399269f5b8d8b66b99cf4000276e,51ca6c1076833d3aeced45611f974418,798857dabf3f6e02fd96d3754961b4f9'
 '4f2192a3cefeb2e045757f4c98cb538e,5f3b0edea71a3b60cb1d93f8690cdf4e,6d366f29543ceb4666afebe8b2a7fb2f,e63e71033e5973e3521ddff778ca35d3'
 '43589fe9a00b5cd521a6f3d5ea3e87ac'
 '43589fe9a00b5cd521a6f3d5ea3e87ac,5e91ccea60b2782f42202ef0ba0a1356,6d366f29543ceb4666afebe8b2a7fb2f,98d9ad1f817227c5f61267561edb5a29'
 'e63e71033e5973e3521ddff778ca35d3' '4f2192a3cefeb2e045757f4c98cb538e'
 '98d9ad1f817227c5f61267561edb5a29' '51ca6c1076833d3aeced45611f974418']"
8,Community 8,0,8,"['69db426b97714835bf4937180774787a' '9c7bc862339d4a5bb21ee5154d9b33bb'
 '17bad53a0ebe4569839e5e151ff78593' '53d98f08e7c74158b7318357b6c660b3'
 'cd601f77419c403889aadeee591915b5' '0f564ebd53e940fba9d16674ac7bc038'
 '12398f70065143839d812fd42ac4b2e7' '74d43d20f251441baf8e3db64fedca43'
 '1b7a22f76f7741e8b140bdc3d8856d76' '8dae140578c841ae9373cbc607c4a6e6'
 'b215cc33cf40434f87f284ff8f3506a4' 'c1ff9d8e1b8745d6860c34ce26122d79'
 '9d1e6ca9ae8e4e068fb74631a633b20b' '60c9212246f84ae5b6ab254127a39262'
 '0f8d0c36a4274526a9eddedae5e63881' 'c09f67d4f25448c99f7c0552c30b7706'
 'c0866306dc8c4da2a8a81c0c3a78b657' 'f197d75f159943f8a3ff441199790bc7'
 'ae521508bdc244f99c4fce4ab5214c79' 'c27966a4e3be434686454204ac7b3ab4']","['bd6d9a5cf87b1af138c29eb3af9c5414'
 'aeabc848d13f599e65a605c7e209813c,bd6d9a5cf87b1af138c29eb3af9c5414,cab271ab0f3742e4c18dd6a66b5e86fd,fce2cc9025ae0fb6f2180ece37d3ab9a'
 '13c46de65b7e974b827b668b96bc054b,1850b7ad817b6b8ce6eb45d7acd606ff,995bb26d8497c3ce073dce7e0b029cb1,9e33bda60d240a6b736314369d0ce78c,d58af2774383a48d5ddffee5074893a6'
 '7f4755e00889a196ce9e227c285b81dd,cab271ab0f3742e4c18dd6a66b5e86fd'
 '7f4755e00889a196ce9e227c285b81dd' '995bb26d8497c3ce073dce7e0b029cb1'
 'cab271ab0f3742e4c18dd6a66b5e86fd'
 '9e33bda60d240a6b736314369d0ce78c,fce2cc9025ae0fb6f2180ece37d3ab9a'
 'fce2cc9025ae0fb6f2180ece37d3ab9a']"
4,Community 4,0,4,"['3f9a2a2c1c0a424e8b4980ea9d48bdbe' 'aa2ec452728a4703ae1bdabe85b6c079'
 'c5ddb31e0a9c4b2683e4631283dd505b' '07d8eeb549044ac88d2e788c146a0ef1'
 '47df2815030c4f1c99facd5cf2482526' 'ae521508bdc244f99c4fce4ab5214c79'
 '6315b4bf135c40358823ed7e4e4060e2' '563c2af32bb3476299e9b24a646097ab'
 'd59b49eb94ce442d89907e90c5d3a44e' '58a8fa7f29e347bdb9689b70b065a779'
 'fae3fe31deb141ab93143ac411f1eaaa' 'a2cb46c226b94831853a5d28c5d94b0a'
 'd3511ecd27cd4166bdb39e757e275300' 'de3b561f5cce4c83bccb39180e362c97'
 'dab39f92d0ed468c80699f28c05c45fa']","['a54f32c60cd4cca34c0a066fab49ca87'
 '0ab08c26efb0fb1e1fab5824767e0c19,4102370503cd9bf6c2f6d53fc36975c2,5f3b0edea71a3b60cb1d93f8690cdf4e,a54f32c60cd4cca34c0a066fab49ca87,d4d16109ee09bb9a72b3728a9f1c6ac3'
 '4f335fde2d28f448a0915ffcfef01855,51902b4fc9b9c277ce9e76d7bb490488,593106634c58b8567ffa3f161932bd0d,a54f32c60cd4cca34c0a066fab49ca87,d58af2774383a48d5ddffee5074893a6'
 '19481b31bad12e8d64f13ffe10364cda,4102370503cd9bf6c2f6d53fc36975c2,78f9c43b344baaa4cf7b5923d2a89fcb,df57c066c0f5bdf4c4b3d066b3a92cf4'
 '0ab08c26efb0fb1e1fab5824767e0c19,41a88e683c2c4336782cbca122a2f940,d4d16109ee09bb9a72b3728a9f1c6ac3,eed974d4fafa09248a93bc9a1552655a'
 '4102370503cd9bf6c2f6d53fc36975c2' '19481b31bad12e8d64f13ffe10364cda'
 '0ab08c26efb0fb1e1fab5824767e0c19,d4d16109ee09bb9a72b3728a9f1c6ac3'
 'eed974d4fafa09248a93bc9a1552655a' 'd4d16109ee09bb9a72b3728a9f1c6ac3'
 '4f335fde2d28f448a0915ffcfef01855']"
9,Community 9,0,9,"['91ae5251eaab4c08afe6cd4cbefcaa6b' 'bbdd53a15e99452a9deff05d1de2d965'
 '532bf54d5a924ff48aee254970efb914' '2489232bd2bb492babe00617e7290282'
 'd2ed972353af4d1db74702638bfdbb58' '575befc8d64c47eb95af8b1096e02963'
 'd6e6366617e04b0ba6732fd1d2d76429' '170507a64973429f818067b80506d428'
 '1ef0c1c59ce946668ccf1a6a4f5ab7cc' '1505dfebbfb04652b0ba57de1a251d67'
 '907ec65076e5494a8631efffb81b3178' '0b2b815c9f834aaaac0c341097def9ba'
 '0f564ebd53e940fba9d16674ac7bc038' 'fae3fe31deb141ab93143ac411f1eaaa'
 '086da554db5b4ad5806aedeb0024197c']","['686022cda25cae37331de3a24eaa29d3,aeabc848d13f599e65a605c7e209813c,e8f78bf0df9f13468e0754764912d5e8'
 '686022cda25cae37331de3a24eaa29d3'
 '41a88e683c2c4336782cbca122a2f940,686022cda25cae37331de3a24eaa29d3'
 '41a88e683c2c4336782cbca122a2f940,55946cdb9635ae3014dc49b213ebd624,e82e0a356955e412d05d2f6e3f008e05'
 '941b9d29572fa96c8945389d9636cb68,c51fbbba65ab5cfc2a7399114b4afc72'
 '2a3102391bafcd28c7dd42549ccf48cf,941b9d29572fa96c8945389d9636cb68,b7e2aefb1da5117e881d6cd92f6deeb3,e82e0a356955e412d05d2f6e3f008e05'
 'b7e2aefb1da5117e881d6cd92f6deeb3,e82e0a356955e412d05d2f6e3f008e05'
 'e8f78bf0df9f13468e0754764912d5e8' 'aeabc848d13f599e65a605c7e209813c']"
11,Community 11,1,11,"['63fba9a7c47a4f14ac0bee6bc90d0fea' '6bfc2395b4f54a528a1ebac94a43acb8'
 '1cce5cebf437428eb1a60dffbdfa603f' 'dc94039d6643460ca3c66150b9087129'
 'f197d75f159943f8a3ff441199790bc7' '4d8890c699684c9381105b03b0b41b03'
 'b1658adfa43847eabad1437db235e858' 'a1773cac7d4c4939aec965660e5015fe'
 '6a054cb59fb44cf494b93988b5f88833' 'e7b103a52e384e3e8bf14105223e7e82'
 '3f1042452c254cecaf7189e89162adc8' 'fd31d549420744d1bd1a6b1112a9a6ba'
 'f7ab348030714072a277682b51f7c588' 'bf91f36307cb43e1ab1e967cb3ba8274']","['06339417dd129043f8102316e372f97b,2045a423d7ec0e6b18300c4009b51f97,2701318aa6b7a9afac87cdf7f06be4fa,2cec5dfa5a6f09a5b21afeb496e812b9,3367d1af79b215e1e3bbeda05ec12266,4889b8e64628e3aa5708b9fe22f95fc0,5724a82dd708aaee5d26b64b7d5b0b50,593106634c58b8567ffa3f161932bd0d,7abba7c2008a10626855aa8423929d38,9c0f0dd4c99b02f2563aa2d10aec7236,b7244c24ba845e9461cf4ba9cc098f77,d40fc73eef238010776ab42d53427a71,d58af2774383a48d5ddffee5074893a6,e17bf1f3eed3d870d76a36ec5d026cd3,f0efb36842d71c9764d28cf83102f4b5'
 '06339417dd129043f8102316e372f97b,2701318aa6b7a9afac87cdf7f06be4fa'
 '2701318aa6b7a9afac87cdf7f06be4fa' 'b7244c24ba845e9461cf4ba9cc098f77'
 '593106634c58b8567ffa3f161932bd0d' '4889b8e64628e3aa5708b9fe22f95fc0']"
14,Community 14,1,14,"['d1fd271d16c348019c2fcced762b35a2' 'ffa128c9c0c84d39bad1bba8cfa4adc5'
 '2dc7f6b230db452190a09643ca3d5ec0' 'c20ecfc93b3a4875ade5c92cfe4b94a1'
 'b1658adfa43847eabad1437db235e858']","['5ad45bd483d79609ef98d1ea70c8cd36'
 '5ad45bd483d79609ef98d1ea70c8cd36,7abba7c2008a10626855aa8423929d38'
 '7abba7c2008a10626855aa8423929d38']"
15,Community 15,1,15,"['5bfefaa0fce04002851733337bed714c' 'b5fed5609f154df58c6a9f74e55fc0ba'
 '66e098dc431146e19fc4bc2ea37efbd9' '4d8890c699684c9381105b03b0b41b03']","['3367d1af79b215e1e3bbeda05ec12266,7b35c76e997c4827b6c4f2abae08331e,e17bf1f3eed3d870d76a36ec5d026cd3,e807738758c408be3e8864db88caff39'
 '3367d1af79b215e1e3bbeda05ec12266,e17bf1f3eed3d870d76a36ec5d026cd3'
 'e17bf1f3eed3d870d76a36ec5d026cd3']"
12,Community 12,1,12,"['e785c52881704d95bf4ec03d2720f8ae' '654689c65613476b9905d7afb3809cd2'
 '3f1042452c254cecaf7189e89162adc8']","['4630228042c15512e1ed883eb515a81c,4889b8e64628e3aa5708b9fe22f95fc0'
 '4630228042c15512e1ed883eb515a81c']"
13,Community 13,1,13,['83cd5df42643494396b00d6cb6376def' 'f7ab348030714072a277682b51f7c588'],['d40fc73eef238010776ab42d53427a71']
